,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/7,3,3
1,2016,2016/1/1,2,2
2,2016,2016/1/4,2,4
3,2016,2016/1/5,2,3
4,2016,2016/1/6,2,2
5,2016,2016/1/2,1,2
6,2016,2016/2/2,2,2
7,2016,2016/2/4,2,6
8,2016,2016/2/6,2,2
9,2016,2016/2/3,1,1
10,2016,2016/3/2,3,5
11,2016,2016/3/1,2,3
12,2016,2016/3/3,2,2
13,2016,2016/3/4,2,4
14,2016,2016/3/5,2,3
15,2016,2016/3/6,2,2
16,2016,2016/3/7,1,1
17,2016,2016/4/6,5,7
18,2016,2016/4/5,2,4
19,2016,2016/4/1,1,1
20,2016,2016/4/2,1,2
21,2016,2016/4/3,1,1
22,2016,2016/4/4,1,1
23,2016,2016/4/7,1,1
24,2016,2016/5/1,3,3
25,2016,2016/5/2,3,3
26,2016,2016/5/7,3,5
27,2016,2016/5/4,1,1
28,2016,2016/5/5,1,6
29,2016,2016/5/6,1,1
30,2016,2016/6/6,4,8
31,2016,2016/6/1,2,2
32,2016,2016/6/2,2,2
33,2016,2016/6/5,2,4
34,2016,2016/6/3,1,1
35,2016,2016/6/4,1,1
36,2016,2016/6/7,1,3
37,2016,2016/7/6,5,7
38,2016,2016/7/7,4,7
39,2016,2016/7/1,3,5
40,2016,2016/7/2,3,8
41,2016,2016/7/4,2,3
42,2016,2016/7/5,2,2
43,2016,2016/7/3,1,1
44,2016,2016/8/1,9,15
45,2016,2016/8/6,7,17
46,2016,2016/8/4,4,6
47,2016,2016/8/2,3,4
48,2016,2016/8/3,2,2
49,2016,2016/8/5,2,2
50,2016,2016/8/7,2,2
51,2016,2016/9/5,6,8
52,2016,2016/9/3,5,7
53,2016,2016/9/7,5,5
54,2016,2016/9/4,4,6
55,2016,2016/9/6,4,17
56,2016,2016/9/2,2,2
57,2016,2016/9/1,1,1
58,2016,2016/10/5,5,5
59,2016,2016/10/4,4,5
60,2016,2016/10/2,2,2
61,2016,2016/10/7,2,3
62,2016,2016/10/1,1,1
63,2016,2016/10/3,1,1
64,2016,2016/11/7,3,4
65,2016,2016/11/6,2,2
66,2016,2016/11/3,1,1
67,2016,2016/11/5,1,1
68,2016,2016/12/3,4,9
69,2016,2016/12/5,3,4
70,2016,2016/12/1,2,3
71,2016,2016/12/2,2,2
72,2016,2016/12/4,1,1
73,2016,2016/12/6,1,2
74,2016,2016/12/7,1,1
75,2017,2017/1/2,2,3
76,2017,2017/1/5,2,6
77,2017,2017/1/7,2,2
78,2017,2017/1/3,1,1
79,2017,2017/1/4,1,1
