,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/5,11,16
1,2016,2016/1/1,8,10
2,2016,2016/1/4,8,8
3,2016,2016/1/6,8,11
4,2016,2016/1/7,7,11
5,2016,2016/1/2,4,7
6,2016,2016/1/3,4,6
7,2016,2016/2/5,19,26
8,2016,2016/2/1,10,13
9,2016,2016/2/3,10,13
10,2016,2016/2/4,8,9
11,2016,2016/2/6,8,8
12,2016,2016/2/2,7,10
13,2016,2016/2/7,6,7
14,2016,2016/3/4,12,16
15,2016,2016/3/6,11,14
16,2016,2016/3/2,7,9
17,2016,2016/3/7,7,17
18,2016,2016/3/1,6,11
19,2016,2016/3/5,5,7
20,2016,2016/3/3,4,4
21,2016,2016/4/3,12,17
22,2016,2016/4/5,10,11
23,2016,2016/4/6,6,8
24,2016,2016/4/2,5,6
25,2016,2016/4/1,4,8
26,2016,2016/4/4,3,4
27,2016,2016/4/7,2,2
28,2016,2016/5/7,12,19
29,2016,2016/5/4,9,13
30,2016,2016/5/1,8,8
31,2016,2016/5/2,7,8
32,2016,2016/5/5,6,7
33,2016,2016/5/6,5,11
34,2016,2016/5/3,4,6
35,2016,2016/6/3,10,12
36,2016,2016/6/4,10,16
37,2016,2016/6/2,9,12
38,2016,2016/6/6,7,10
39,2016,2016/6/7,7,12
40,2016,2016/6/5,6,12
41,2016,2016/6/1,5,8
42,2016,2016/7/6,12,19
43,2016,2016/7/7,11,19
44,2016,2016/7/2,10,16
45,2016,2016/7/1,8,8
46,2016,2016/7/4,6,6
47,2016,2016/7/5,6,6
48,2016,2016/7/3,5,8
49,2016,2016/8/7,15,23
50,2016,2016/8/5,10,16
51,2016,2016/8/2,9,11
52,2016,2016/8/1,7,8
53,2016,2016/8/6,6,7
54,2016,2016/8/3,5,8
55,2016,2016/8/4,5,7
56,2016,2016/9/1,12,18
57,2016,2016/9/2,12,18
58,2016,2016/9/3,12,17
59,2016,2016/9/5,9,12
60,2016,2016/9/4,8,10
61,2016,2016/9/7,7,12
62,2016,2016/9/6,3,4
63,2016,2016/10/1,18,19
64,2016,2016/10/2,16,23
65,2016,2016/10/3,10,10
66,2016,2016/10/7,8,10
67,2016,2016/10/6,7,9
68,2016,2016/10/4,6,8
69,2016,2016/10/5,6,6
70,2016,2016/11/3,10,12
71,2016,2016/11/6,8,14
72,2016,2016/11/5,7,10
73,2016,2016/11/2,6,7
74,2016,2016/11/4,6,7
75,2016,2016/11/7,5,6
76,2016,2016/11/1,3,4
77,2016,2016/12/4,10,11
78,2016,2016/12/3,9,12
79,2016,2016/12/5,9,14
80,2016,2016/12/6,9,14
81,2016,2016/12/7,6,8
82,2016,2016/12/1,4,7
83,2016,2016/12/2,4,6
84,2017,2017/1/3,8,8
85,2017,2017/1/1,7,11
86,2017,2017/1/4,7,10
87,2017,2017/1/7,6,6
88,2017,2017/1/5,5,11
89,2017,2017/1/2,3,3
90,2017,2017/1/6,3,3
91,2017,2017/2/6,9,12
92,2017,2017/2/4,8,9
93,2017,2017/2/7,7,12
94,2017,2017/2/1,6,9
95,2017,2017/2/3,6,6
96,2017,2017/2/2,5,7
97,2017,2017/2/5,4,5
98,2017,2017/3/3,12,14
99,2017,2017/3/4,11,12
100,2017,2017/3/1,8,10
101,2017,2017/3/5,7,13
102,2017,2017/3/6,5,6
103,2017,2017/3/7,4,6
104,2017,2017/3/2,1,1
105,2017,2017/4/5,15,22
106,2017,2017/4/2,9,12
107,2017,2017/4/1,6,10
108,2017,2017/4/3,5,8
109,2017,2017/4/6,5,5
110,2017,2017/4/7,5,5
111,2017,2017/4/4,4,5
112,2017,2017/5/5,9,9
113,2017,2017/5/2,6,6
114,2017,2017/5/3,6,7
115,2017,2017/5/7,6,10
116,2017,2017/5/4,5,6
117,2017,2017/5/1,2,3
118,2017,2017/5/6,2,2
119,2017,2017/6/1,11,11
120,2017,2017/6/5,10,11
121,2017,2017/6/4,9,15
122,2017,2017/6/3,6,6
123,2017,2017/6/2,4,6
124,2017,2017/6/6,4,12
125,2017,2017/6/7,3,5
126,2017,2017/7/5,15,22
127,2017,2017/7/6,11,20
128,2017,2017/7/2,8,16
129,2017,2017/7/1,6,6
130,2017,2017/7/7,6,10
131,2017,2017/7/3,4,4
132,2017,2017/7/4,3,4
133,2017,2017/8/4,8,12
134,2017,2017/8/6,5,8
135,2017,2017/8/7,5,7
136,2017,2017/8/1,4,6
137,2017,2017/8/5,3,4
138,2017,2017/8/2,2,2
139,2017,2017/8/3,2,2
140,2017,2017/9/6,9,10
141,2017,2017/9/5,8,12
142,2017,2017/9/3,6,8
143,2017,2017/9/1,5,6
144,2017,2017/9/2,5,6
145,2017,2017/9/4,5,6
146,2017,2017/9/7,4,5
147,2017,2017/10/6,10,17
148,2017,2017/10/5,9,13
149,2017,2017/10/2,8,13
150,2017,2017/10/1,6,7
151,2017,2017/10/7,6,11
152,2017,2017/10/4,3,3
153,2017,2017/10/3,2,2
154,2017,2017/11/1,9,11
155,2017,2017/11/2,8,12
156,2017,2017/11/5,6,8
157,2017,2017/11/3,5,6
158,2017,2017/11/6,4,6
159,2017,2017/11/4,3,4
160,2017,2017/11/7,3,4
161,2017,2017/12/5,6,8
162,2017,2017/12/6,6,10
163,2017,2017/12/1,5,7
164,2017,2017/12/3,4,7
165,2017,2017/12/7,4,5
166,2017,2017/12/4,3,4
167,2017,2017/12/2,2,3
168,2018,2018/1/1,10,11
169,2018,2018/1/5,8,9
170,2018,2018/1/6,8,11
171,2018,2018/1/4,7,8
172,2018,2018/1/2,6,7
173,2018,2018/1/7,4,11
174,2018,2018/1/3,3,3
175,2018,2018/2/1,8,14
176,2018,2018/2/2,7,9
177,2018,2018/2/3,6,11
178,2018,2018/2/7,6,7
179,2018,2018/2/4,4,8
180,2018,2018/2/5,4,7
181,2018,2018/2/6,4,4
182,2018,2018/3/1,7,7
183,2018,2018/3/3,7,8
184,2018,2018/3/2,6,8
185,2018,2018/3/5,6,6
186,2018,2018/3/6,6,8
187,2018,2018/3/7,4,6
188,2018,2018/3/4,1,3
189,2018,2018/4/5,8,10
190,2018,2018/4/3,7,7
191,2018,2018/4/1,6,6
192,2018,2018/4/4,6,8
193,2018,2018/4/6,5,5
194,2018,2018/4/7,5,5
195,2018,2018/4/2,3,4
196,2018,2018/5/1,9,13
197,2018,2018/5/5,8,12
198,2018,2018/5/2,7,10
199,2018,2018/5/3,7,8
200,2018,2018/5/6,6,10
201,2018,2018/5/7,6,12
202,2018,2018/5/4,4,4
203,2018,2018/6/4,9,12
204,2018,2018/6/5,9,13
205,2018,2018/6/6,9,9
206,2018,2018/6/3,8,12
207,2018,2018/6/1,7,8
208,2018,2018/6/2,7,8
209,2018,2018/6/7,5,6
210,2018,2018/7/1,12,18
211,2018,2018/7/7,10,17
212,2018,2018/7/4,8,13
213,2018,2018/7/5,6,7
214,2018,2018/7/6,6,12
215,2018,2018/7/3,5,6
216,2018,2018/7/2,4,5
217,2018,2018/8/4,10,18
218,2018,2018/8/7,8,11
219,2018,2018/8/5,7,8
220,2018,2018/8/6,7,9
221,2018,2018/8/1,6,10
222,2018,2018/8/3,6,11
223,2018,2018/8/2,4,6
224,2018,2018/9/6,8,8
225,2018,2018/9/7,8,9
226,2018,2018/9/2,7,9
227,2018,2018/9/3,7,9
228,2018,2018/9/1,4,5
229,2018,2018/9/5,4,5
230,2018,2018/10/1,11,13
231,2018,2018/10/2,10,13
232,2018,2018/10/4,7,9
233,2018,2018/10/3,6,9
234,2018,2018/10/7,6,8
235,2018,2018/10/5,5,8
236,2018,2018/10/6,4,8
237,2018,2018/11/5,8,9
238,2018,2018/11/1,5,6
239,2018,2018/11/3,4,6
240,2018,2018/11/6,3,6
241,2018,2018/11/7,3,4
242,2018,2018/11/2,2,7
243,2018,2018/11/4,2,2
244,2018,2018/12/1,6,9
245,2018,2018/12/3,5,6
246,2018,2018/12/4,5,6
247,2018,2018/12/2,2,2
248,2018,2018/12/5,2,2
249,2018,2018/12/6,2,3
250,2018,2018/12/7,2,3
251,2019,2019/1/3,8,11
252,2019,2019/1/4,5,6
253,2019,2019/1/7,4,7
254,2019,2019/1/2,2,4
255,2019,2019/1/5,2,2
256,2019,2019/1/6,2,2
257,2019,2019/1/1,1,1
258,2019,2019/2/6,4,6
259,2019,2019/2/3,3,3
260,2019,2019/2/4,3,4
261,2019,2019/2/5,3,3
262,2019,2019/2/2,2,4
263,2019,2019/2/1,1,1
264,2019,2019/2/7,1,1
265,2019,2019/3/2,8,12
266,2019,2019/3/7,5,6
267,2019,2019/3/1,3,5
268,2019,2019/3/4,3,3
269,2019,2019/3/5,3,4
270,2019,2019/3/6,3,4
271,2019,2019/3/3,2,2
272,2019,2019/4/2,11,13
273,2019,2019/4/3,10,15
274,2019,2019/4/6,8,10
275,2019,2019/4/1,7,13
276,2019,2019/4/4,6,8
277,2019,2019/4/7,5,5
278,2019,2019/4/5,4,7
279,2019,2019/5/4,10,10
280,2019,2019/5/5,7,12
281,2019,2019/5/2,5,5
282,2019,2019/5/3,3,5
283,2019,2019/5/1,2,2
284,2019,2019/5/6,2,2
285,2019,2019/5/7,2,3
286,2019,2019/6/3,9,9
287,2019,2019/6/7,6,8
288,2019,2019/6/4,5,5
289,2019,2019/6/1,4,6
290,2019,2019/6/6,4,4
291,2019,2019/6/2,3,4
292,2019,2019/6/5,2,3
293,2019,2019/7/2,10,11
294,2019,2019/7/4,10,12
295,2019,2019/7/1,7,12
296,2019,2019/7/6,7,8
297,2019,2019/7/5,5,8
298,2019,2019/7/7,4,14
299,2019,2019/7/3,3,5
300,2019,2019/8/5,7,7
301,2019,2019/8/1,6,9
302,2019,2019/8/3,5,9
303,2019,2019/8/4,4,5
304,2019,2019/8/6,4,12
305,2019,2019/8/7,4,12
306,2019,2019/8/2,3,4
307,2019,2019/9/1,11,16
308,2019,2019/9/7,6,13
309,2019,2019/9/2,5,6
310,2019,2019/9/3,4,4
311,2019,2019/9/4,3,4
312,2019,2019/9/5,3,6
313,2019,2019/9/6,2,3
314,2019,2019/10/7,7,8
315,2019,2019/10/2,5,8
316,2019,2019/10/6,5,7
317,2019,2019/10/1,4,4
318,2019,2019/10/3,4,10
319,2019,2019/10/5,4,6
320,2019,2019/10/4,3,5
321,2019,2019/11/1,7,9
322,2019,2019/11/2,7,9
323,2019,2019/11/3,6,7
324,2019,2019/11/6,6,7
325,2019,2019/11/5,3,5
326,2019,2019/11/4,2,2
327,2019,2019/11/7,2,4
328,2019,2019/12/7,8,13
329,2019,2019/12/1,4,10
330,2019,2019/12/2,4,8
