,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/1,57,74
1,2016,2016/1/6,56,70
2,2016,2016/1/5,48,62
3,2016,2016/1/7,44,56
4,2016,2016/1/4,42,51
5,2016,2016/1/2,33,42
6,2016,2016/1/3,29,44
7,2016,2016/2/1,81,91
8,2016,2016/2/4,64,83
9,2016,2016/2/5,59,69
10,2016,2016/2/2,56,68
11,2016,2016/2/3,56,70
12,2016,2016/2/7,44,65
13,2016,2016/2/6,28,37
14,2016,2016/3/2,73,91
15,2016,2016/3/3,73,95
16,2016,2016/3/4,65,85
17,2016,2016/3/1,52,74
18,2016,2016/3/5,50,67
19,2016,2016/3/7,43,63
20,2016,2016/3/6,37,50
21,2016,2016/4/6,75,106
22,2016,2016/4/5,56,70
23,2016,2016/4/4,54,73
24,2016,2016/4/2,48,77
25,2016,2016/4/1,47,57
26,2016,2016/4/3,46,55
27,2016,2016/4/7,33,55
28,2016,2016/5/1,92,120
29,2016,2016/5/7,64,103
30,2016,2016/5/2,60,82
31,2016,2016/5/6,58,76
32,2016,2016/5/4,55,74
33,2016,2016/5/5,48,69
34,2016,2016/5/3,47,62
35,2016,2016/6/4,80,109
36,2016,2016/6/5,67,83
37,2016,2016/6/3,66,86
38,2016,2016/6/1,63,76
39,2016,2016/6/2,61,71
40,2016,2016/6/7,43,70
41,2016,2016/6/6,41,53
42,2016,2016/7/5,88,115
43,2016,2016/7/3,71,101
44,2016,2016/7/6,62,91
45,2016,2016/7/1,58,70
46,2016,2016/7/7,58,101
47,2016,2016/7/2,54,64
48,2016,2016/7/4,43,51
49,2016,2016/8/3,63,83
50,2016,2016/8/2,55,71
51,2016,2016/8/1,54,66
52,2016,2016/8/4,50,82
53,2016,2016/8/5,49,58
54,2016,2016/8/7,49,72
55,2016,2016/8/6,43,62
56,2016,2016/9/5,84,120
57,2016,2016/9/4,73,93
58,2016,2016/9/2,68,76
59,2016,2016/9/3,51,66
60,2016,2016/9/1,50,62
61,2016,2016/9/7,47,66
62,2016,2016/9/6,41,51
63,2016,2016/10/6,63,101
64,2016,2016/10/1,59,72
65,2016,2016/10/2,55,72
66,2016,2016/10/4,54,65
67,2016,2016/10/3,52,70
68,2016,2016/10/7,50,72
69,2016,2016/10/5,43,58
70,2016,2016/11/4,54,62
71,2016,2016/11/3,51,67
72,2016,2016/11/5,46,58
73,2016,2016/11/1,45,57
74,2016,2016/11/2,42,72
75,2016,2016/11/6,39,54
76,2016,2016/11/7,37,67
77,2016,2016/12/5,44,62
78,2016,2016/12/3,33,60
79,2016,2016/12/6,32,47
80,2016,2016/12/1,31,43
81,2016,2016/12/7,30,54
82,2016,2016/12/2,21,37
83,2016,2016/12/4,16,19
84,2017,2017/1/1,57,71
85,2017,2017/1/5,57,72
86,2017,2017/1/2,54,78
87,2017,2017/1/4,51,62
88,2017,2017/1/3,40,53
89,2017,2017/1/6,36,46
90,2017,2017/1/7,27,34
91,2017,2017/2/4,53,71
92,2017,2017/2/6,51,71
93,2017,2017/2/1,45,61
94,2017,2017/2/3,43,47
95,2017,2017/2/5,42,59
96,2017,2017/2/2,40,49
97,2017,2017/2/7,27,46
98,2017,2017/3/4,67,80
99,2017,2017/3/5,65,100
100,2017,2017/3/3,57,75
101,2017,2017/3/6,52,74
102,2017,2017/3/1,47,63
103,2017,2017/3/2,44,58
104,2017,2017/3/7,38,52
105,2017,2017/4/4,60,70
106,2017,2017/4/7,58,98
107,2017,2017/4/6,53,66
108,2017,2017/4/3,52,69
109,2017,2017/4/5,51,74
110,2017,2017/4/2,38,47
111,2017,2017/4/1,36,47
112,2017,2017/5/1,71,93
113,2017,2017/5/3,71,96
114,2017,2017/5/2,63,76
115,2017,2017/5/6,55,64
116,2017,2017/5/4,54,72
117,2017,2017/5/5,47,58
118,2017,2017/5/7,37,63
119,2017,2017/6/5,78,109
120,2017,2017/6/4,73,89
121,2017,2017/6/1,67,92
122,2017,2017/6/2,58,72
123,2017,2017/6/3,49,71
124,2017,2017/6/6,46,61
125,2017,2017/6/7,42,56
126,2017,2017/7/1,68,97
127,2017,2017/7/3,62,80
128,2017,2017/7/2,59,73
129,2017,2017/7/5,59,72
130,2017,2017/7/6,59,78
131,2017,2017/7/7,48,83
132,2017,2017/7/4,46,56
133,2017,2017/8/3,53,71
134,2017,2017/8/4,52,77
135,2017,2017/8/2,47,66
136,2017,2017/8/1,41,61
137,2017,2017/8/5,38,52
138,2017,2017/8/6,35,52
139,2017,2017/8/7,33,62
140,2017,2017/9/4,60,69
141,2017,2017/9/2,59,78
142,2017,2017/9/5,58,88
143,2017,2017/9/1,52,69
144,2017,2017/9/7,42,75
145,2017,2017/9/3,40,46
146,2017,2017/9/6,28,35
147,2017,2017/10/2,71,91
148,2017,2017/10/1,68,83
149,2017,2017/10/5,57,70
150,2017,2017/10/4,54,73
