,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/2,10,13
1,2016,2016/1/4,10,14
2,2016,2016/1/7,9,16
3,2016,2016/1/6,8,11
4,2016,2016/1/3,7,10
5,2016,2016/1/1,4,6
6,2016,2016/1/5,3,4
7,2016,2016/2/1,10,16
8,2016,2016/2/4,7,9
9,2016,2016/2/6,7,10
10,2016,2016/2/2,6,10
11,2016,2016/2/5,6,12
12,2016,2016/2/3,4,5
13,2016,2016/2/7,3,4
14,2016,2016/3/2,9,9
15,2016,2016/3/4,9,11
16,2016,2016/3/6,9,21
17,2016,2016/3/1,6,10
18,2016,2016/3/7,6,8
19,2016,2016/3/3,4,6
20,2016,2016/3/5,4,4
21,2016,2016/4/5,8,9
22,2016,2016/4/1,6,11
23,2016,2016/4/2,6,10
24,2016,2016/4/6,6,7
25,2016,2016/4/3,5,5
26,2016,2016/4/7,5,8
27,2016,2016/4/4,4,5
28,2016,2016/5/1,9,13
29,2016,2016/5/2,8,10
30,2016,2016/5/4,7,11
31,2016,2016/5/7,7,15
32,2016,2016/5/5,5,8
33,2016,2016/5/3,4,4
34,2016,2016/5/6,4,6
35,2016,2016/6/1,14,27
36,2016,2016/6/4,11,18
37,2016,2016/6/3,9,9
38,2016,2016/6/5,9,10
39,2016,2016/6/2,5,7
40,2016,2016/6/6,2,2
41,2016,2016/6/7,1,1
42,2016,2016/7/2,13,15
43,2016,2016/7/5,13,16
44,2016,2016/7/6,10,12
45,2016,2016/7/7,10,20
46,2016,2016/7/4,9,13
47,2016,2016/7/1,6,12
48,2016,2016/7/3,6,6
49,2016,2016/8/1,11,20
50,2016,2016/8/6,11,18
51,2016,2016/8/4,7,10
52,2016,2016/8/5,7,17
53,2016,2016/8/7,7,13
54,2016,2016/8/3,6,8
55,2016,2016/8/2,3,3
56,2016,2016/9/5,11,19
57,2016,2016/9/3,9,13
58,2016,2016/9/2,8,10
59,2016,2016/9/7,8,14
60,2016,2016/9/6,7,14
61,2016,2016/9/4,5,6
62,2016,2016/9/1,4,7
63,2016,2016/10/6,12,24
64,2016,2016/10/4,11,22
65,2016,2016/10/1,8,9
66,2016,2016/10/7,7,8
67,2016,2016/10/5,6,13
68,2016,2016/10/2,5,6
69,2016,2016/10/3,2,7
70,2016,2016/11/5,11,17
71,2016,2016/11/2,9,11
72,2016,2016/11/4,8,16
73,2016,2016/11/1,7,8
74,2016,2016/11/3,6,8
75,2016,2016/11/7,6,9
76,2016,2016/11/6,3,4
77,2016,2016/12/5,15,22
78,2016,2016/12/3,12,18
79,2016,2016/12/2,9,15
80,2016,2016/12/6,9,9
81,2016,2016/12/7,8,9
82,2016,2016/12/1,5,7
83,2016,2016/12/4,5,11
84,2017,2017/1/4,8,11
85,2017,2017/1/5,7,9
86,2017,2017/1/2,6,6
87,2017,2017/1/7,6,9
88,2017,2017/1/6,5,6
89,2017,2017/1/1,4,12
90,2017,2017/1/3,4,9
91,2017,2017/2/5,12,15
92,2017,2017/2/2,9,11
93,2017,2017/2/3,6,6
94,2017,2017/2/6,5,10
95,2017,2017/2/1,3,3
96,2017,2017/2/4,3,4
97,2017,2017/2/7,3,5
98,2017,2017/3/5,12,15
99,2017,2017/3/3,6,6
100,2017,2017/3/6,6,10
101,2017,2017/3/2,4,7
102,2017,2017/3/4,4,6
103,2017,2017/3/7,3,3
104,2017,2017/3/1,1,1
105,2017,2017/4/5,8,15
106,2017,2017/4/7,7,9
107,2017,2017/4/2,4,4
108,2017,2017/4/3,4,10
