,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/1,5,11
1,2016,2016/1/3,4,4
2,2016,2016/1/5,4,6
3,2016,2016/1/2,3,5
4,2016,2016/1/4,3,3
5,2016,2016/1/6,3,3
6,2016,2016/1/7,2,5
7,2016,2016/2/2,13,18
8,2016,2016/2/3,7,8
9,2016,2016/2/1,5,7
10,2016,2016/2/5,5,6
11,2016,2016/2/6,4,9
12,2016,2016/2/4,3,4
13,2016,2016/2/7,1,2
14,2016,2016/3/3,6,10
15,2016,2016/3/4,5,10
16,2016,2016/3/1,4,7
17,2016,2016/3/7,3,8
18,2016,2016/3/2,2,3
19,2016,2016/3/5,1,1
20,2016,2016/4/4,10,14
21,2016,2016/4/5,7,14
22,2016,2016/4/3,6,6
23,2016,2016/4/1,5,11
24,2016,2016/4/2,4,8
25,2016,2016/4/7,2,3
26,2016,2016/4/6,1,1
27,2016,2016/5/1,5,8
28,2016,2016/5/2,5,6
29,2016,2016/5/4,5,7
30,2016,2016/5/3,4,6
31,2016,2016/5/5,2,3
32,2016,2016/5/6,2,2
33,2016,2016/5/7,2,2
34,2016,2016/6/5,7,11
35,2016,2016/6/3,6,7
36,2016,2016/6/2,5,6
37,2016,2016/6/1,4,5
38,2016,2016/6/4,3,3
39,2016,2016/6/6,3,6
40,2016,2016/6/7,1,1
41,2016,2016/7/5,6,12
42,2016,2016/7/3,4,5
43,2016,2016/7/6,4,6
44,2016,2016/7/2,3,7
45,2016,2016/7/7,2,2
46,2016,2016/7/1,1,1
47,2016,2016/8/2,8,10
48,2016,2016/8/1,4,6
49,2016,2016/8/5,4,8
50,2016,2016/8/3,1,1
51,2016,2016/8/4,1,1
52,2016,2016/8/6,1,2
53,2016,2016/8/7,1,1
54,2016,2016/9/5,8,13
55,2016,2016/9/2,7,7
56,2016,2016/9/1,6,6
57,2016,2016/9/6,3,4
58,2016,2016/9/4,2,3
59,2016,2016/9/7,2,2
60,2016,2016/9/3,1,1
61,2016,2016/10/4,5,8
62,2016,2016/10/3,4,5
63,2016,2016/10/5,3,4
64,2016,2016/10/6,2,4
65,2016,2016/10/7,2,2
66,2016,2016/10/2,1,1
67,2016,2016/11/1,6,8
68,2016,2016/11/4,5,6
69,2016,2016/11/5,5,11
70,2016,2016/11/3,3,3
71,2016,2016/11/7,3,3
72,2016,2016/11/2,2,3
73,2016,2016/12/4,3,4
74,2016,2016/12/6,3,3
75,2016,2016/12/1,2,2
76,2016,2016/12/2,2,2
77,2016,2016/12/3,2,3
78,2016,2016/12/5,2,4
79,2016,2016/12/7,1,1
80,2017,2017/1/4,9,13
81,2017,2017/1/1,8,13
82,2017,2017/1/2,5,5
83,2017,2017/1/6,5,8
84,2017,2017/1/7,3,4
85,2017,2017/1/3,2,3
86,2017,2017/1/5,2,3
87,2017,2017/2/1,5,5
88,2017,2017/2/4,5,16
89,2017,2017/2/2,4,5
90,2017,2017/2/5,4,5
91,2017,2017/2/6,4,8
92,2017,2017/2/3,3,3
93,2017,2017/3/2,9,12
94,2017,2017/3/3,9,11
95,2017,2017/3/5,7,10
96,2017,2017/3/4,5,5
97,2017,2017/3/1,3,3
98,2017,2017/3/7,3,6
99,2017,2017/3/6,2,3
100,2017,2017/4/1,8,13
101,2017,2017/4/4,6,7
102,2017,2017/4/2,5,5
103,2017,2017/4/5,5,9
104,2017,2017/4/7,5,8
105,2017,2017/4/3,3,3
106,2017,2017/4/6,3,5
107,2017,2017/5/2,14,19
108,2017,2017/5/3,8,12
109,2017,2017/5/4,7,11
110,2017,2017/5/5,6,11
111,2017,2017/5/1,5,6
112,2017,2017/5/6,2,2
113,2017,2017/6/5,9,15
114,2017,2017/6/1,6,11
115,2017,2017/6/4,6,8
116,2017,2017/6/7,6,7
117,2017,2017/6/2,5,6
118,2017,2017/6/6,5,9
119,2017,2017/6/3,3,9
120,2017,2017/7/1,11,17
121,2017,2017/7/5,8,10
122,2017,2017/7/7,7,8
123,2017,2017/7/4,5,9
124,2017,2017/7/2,3,5
125,2017,2017/7/3,2,5
126,2017,2017/7/6,2,4
127,2017,2017/8/2,7,9
128,2017,2017/8/5,6,11
129,2017,2017/8/1,5,8
130,2017,2017/8/3,5,10
131,2017,2017/8/4,4,6
132,2017,2017/8/6,3,4
133,2017,2017/8/7,2,7
134,2017,2017/9/1,8,8
135,2017,2017/9/3,8,15
136,2017,2017/9/4,4,6
137,2017,2017/9/5,4,11
138,2017,2017/9/2,2,3
139,2017,2017/9/6,2,2
140,2017,2017/9/7,1,1
141,2017,2017/10/3,6,9
142,2017,2017/10/4,6,11
143,2017,2017/10/1,5,11
144,2017,2017/10/5,4,6
145,2017,2017/10/7,4,7
146,2017,2017/10/2,3,4
147,2017,2017/10/6,2,3
148,2017,2017/11/5,9,12
149,2017,2017/11/4,7,10
150,2017,2017/11/3,5,11
151,2017,2017/11/2,4,8
152,2017,2017/11/1,3,4
153,2017,2017/11/7,3,7
154,2017,2017/11/6,1,1
155,2017,2017/12/5,12,15
156,2017,2017/12/6,6,8
157,2017,2017/12/2,5,8
158,2017,2017/12/3,5,8
159,2017,2017/12/4,4,8
160,2017,2017/12/1,2,3
