,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/5,20,30
1,2016,2016/1/2,14,23
2,2016,2016/1/1,12,14
3,2016,2016/1/7,9,19
4,2016,2016/1/3,8,10
5,2016,2016/1/4,8,10
6,2016,2016/1/6,8,11
7,2016,2016/2/4,21,32
8,2016,2016/2/5,20,29
9,2016,2016/2/1,14,23
10,2016,2016/2/2,13,17
11,2016,2016/2/3,11,15
12,2016,2016/2/6,11,15
13,2016,2016/2/7,9,22
14,2016,2016/3/3,17,23
15,2016,2016/3/5,11,15
16,2016,2016/3/2,9,14
17,2016,2016/3/4,9,15
18,2016,2016/3/7,7,14
19,2016,2016/3/1,6,12
20,2016,2016/3/6,4,8
21,2016,2016/4/6,16,29
22,2016,2016/4/4,11,22
23,2016,2016/4/1,10,20
24,2016,2016/4/5,10,15
25,2016,2016/4/7,10,12
26,2016,2016/4/3,9,11
27,2016,2016/4/2,6,7
28,2016,2016/5/2,18,31
29,2016,2016/5/1,15,30
30,2016,2016/5/5,15,23
31,2016,2016/5/6,13,17
32,2016,2016/5/3,10,13
33,2016,2016/5/7,10,15
34,2016,2016/5/4,7,10
35,2016,2016/6/5,14,18
36,2016,2016/6/1,13,15
37,2016,2016/6/2,12,20
38,2016,2016/6/4,11,16
39,2016,2016/6/7,11,19
40,2016,2016/6/3,9,11
41,2016,2016/6/6,7,12
42,2016,2016/7/5,16,22
43,2016,2016/7/4,14,21
44,2016,2016/7/6,14,20
45,2016,2016/7/7,13,20
46,2016,2016/7/1,11,15
47,2016,2016/7/3,11,21
48,2016,2016/7/2,7,9
49,2016,2016/8/1,16,31
50,2016,2016/8/3,16,20
51,2016,2016/8/5,14,18
52,2016,2016/8/7,8,15
53,2016,2016/8/2,7,10
54,2016,2016/8/4,5,8
55,2016,2016/8/6,5,6
56,2016,2016/9/4,18,27
57,2016,2016/9/3,12,16
58,2016,2016/9/5,12,21
59,2016,2016/9/1,8,12
60,2016,2016/9/2,8,10
61,2016,2016/9/6,8,14
62,2016,2016/9/7,7,10
63,2016,2016/10/3,17,29
64,2016,2016/10/4,16,23
65,2016,2016/10/1,14,19
66,2016,2016/10/5,12,18
67,2016,2016/10/2,10,16
68,2016,2016/10/7,7,7
69,2016,2016/10/6,5,9
70,2016,2016/11/2,14,20
71,2016,2016/11/3,13,15
72,2016,2016/11/1,12,19
73,2016,2016/11/5,9,13
74,2016,2016/11/6,8,11
75,2016,2016/11/7,7,12
76,2016,2016/11/4,5,8
77,2016,2016/12/6,15,21
78,2016,2016/12/5,11,17
79,2016,2016/12/1,9,15
80,2016,2016/12/2,9,12
81,2016,2016/12/7,9,11
82,2016,2016/12/4,8,11
83,2016,2016/12/3,7,11
84,2017,2017/1/2,20,33
85,2017,2017/1/3,12,18
86,2017,2017/1/1,11,16
87,2017,2017/1/4,11,11
88,2017,2017/1/5,10,13
89,2017,2017/1/6,7,8
90,2017,2017/1/7,6,7
91,2017,2017/2/2,14,20
92,2017,2017/2/4,13,18
93,2017,2017/2/5,10,19
94,2017,2017/2/1,9,12
95,2017,2017/2/3,9,14
96,2017,2017/2/7,6,9
97,2017,2017/2/6,5,5
98,2017,2017/3/3,16,25
99,2017,2017/3/5,16,21
100,2017,2017/3/6,13,23
101,2017,2017/3/2,12,17
102,2017,2017/3/4,12,18
103,2017,2017/3/1,9,18
104,2017,2017/3/7,9,20
105,2017,2017/4/1,25,38
106,2017,2017/4/2,16,29
107,2017,2017/4/7,15,30
108,2017,2017/4/4,14,18
109,2017,2017/4/6,11,15
110,2017,2017/4/3,9,20
111,2017,2017/4/5,6,13
112,2017,2017/5/3,20,32
113,2017,2017/5/1,16,22
114,2017,2017/5/4,12,14
115,2017,2017/5/5,12,14
116,2017,2017/5/2,11,17
117,2017,2017/5/6,7,11
118,2017,2017/5/7,7,11
119,2017,2017/6/2,14,24
120,2017,2017/6/1,12,19
121,2017,2017/6/5,12,15
122,2017,2017/6/3,11,12
123,2017,2017/6/4,10,15
124,2017,2017/6/6,10,13
125,2017,2017/6/7,8,17
126,2017,2017/7/5,17,17
127,2017,2017/7/3,12,17
128,2017,2017/7/1,11,14
129,2017,2017/7/6,11,16
130,2017,2017/7/7,11,20
131,2017,2017/7/4,9,12
132,2017,2017/7/2,6,8
133,2017,2017/8/3,13,20
134,2017,2017/8/5,13,15
135,2017,2017/8/1,10,10
136,2017,2017/8/2,10,10
137,2017,2017/8/4,9,13
138,2017,2017/8/7,9,14
139,2017,2017/8/6,6,15
140,2017,2017/9/4,12,22
141,2017,2017/9/2,11,15
142,2017,2017/9/6,10,18
143,2017,2017/9/5,6,8
144,2017,2017/9/7,6,8
145,2017,2017/9/1,4,8
146,2017,2017/9/3,4,4
147,2017,2017/10/2,18,24
148,2017,2017/10/1,14,19
149,2017,2017/10/7,13,23
150,2017,2017/10/5,9,10
151,2017,2017/10/4,8,11
152,2017,2017/10/3,7,8
153,2017,2017/10/6,2,3
154,2017,2017/11/5,20,30
155,2017,2017/11/3,15,26
156,2017,2017/11/4,14,16
157,2017,2017/11/1,13,22
158,2017,2017/11/2,12,15
159,2017,2017/11/6,12,20
160,2017,2017/11/7,8,21
161,2017,2017/12/5,14,26
162,2017,2017/12/4,13,17
163,2017,2017/12/2,12,19
164,2017,2017/12/6,11,13
165,2017,2017/12/1,10,18
166,2017,2017/12/3,8,9
167,2017,2017/12/7,7,8
168,2018,2018/1/6,13,19
169,2018,2018/1/1,12,13
170,2018,2018/1/3,12,28
171,2018,2018/1/7,12,26
172,2018,2018/1/4,11,22
173,2018,2018/1/5,9,12
174,2018,2018/1/2,8,12
175,2018,2018/2/5,13,18
176,2018,2018/2/4,11,17
177,2018,2018/2/1,9,17
178,2018,2018/2/3,9,11
179,2018,2018/2/7,8,9
180,2018,2018/2/6,7,12
181,2018,2018/2/2,6,7
182,2018,2018/3/2,11,18
183,2018,2018/3/5,11,19
184,2018,2018/3/1,9,15
185,2018,2018/3/3,8,9
186,2018,2018/3/4,8,13
187,2018,2018/3/6,7,9
188,2018,2018/3/7,5,7
189,2018,2018/4/1,14,23
190,2018,2018/4/2,12,14
191,2018,2018/4/6,11,14
192,2018,2018/4/7,9,17
193,2018,2018/4/4,8,11
194,2018,2018/4/5,8,13
195,2018,2018/4/3,4,5
196,2018,2018/5/2,16,30
197,2018,2018/5/4,15,25
198,2018,2018/5/5,15,20
199,2018,2018/5/6,12,13
200,2018,2018/5/3,10,14
201,2018,2018/5/1,7,16
202,2018,2018/5/7,5,9
203,2018,2018/6/5,14,17
204,2018,2018/6/3,12,18
