,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/4,8,15
1,2016,2016/1/5,8,16
2,2016,2016/1/7,8,16
3,2016,2016/1/1,7,11
4,2016,2016/1/3,7,12
5,2016,2016/1/2,6,8
6,2016,2016/1/6,4,4
7,2016,2016/2/5,14,15
8,2016,2016/2/1,12,14
9,2016,2016/2/4,11,15
10,2016,2016/2/2,8,11
11,2016,2016/2/3,6,12
12,2016,2016/2/7,5,7
13,2016,2016/3/1,10,14
14,2016,2016/3/3,10,11
15,2016,2016/3/2,9,15
16,2016,2016/3/4,7,8
17,2016,2016/3/7,4,4
18,2016,2016/3/5,3,5
19,2016,2016/3/6,3,3
20,2016,2016/4/4,13,13
21,2016,2016/4/7,9,13
22,2016,2016/4/5,8,8
23,2016,2016/4/2,7,7
24,2016,2016/4/6,7,10
25,2016,2016/4/1,6,6
26,2016,2016/4/3,4,9
27,2016,2016/5/1,8,14
28,2016,2016/5/3,8,12
29,2016,2016/5/5,8,11
30,2016,2016/5/6,8,11
31,2016,2016/5/7,8,12
32,2016,2016/5/2,7,9
33,2016,2016/5/4,5,7
34,2016,2016/6/4,16,19
35,2016,2016/6/2,15,20
36,2016,2016/6/1,14,17
37,2016,2016/6/5,12,15
38,2016,2016/6/3,11,13
39,2016,2016/6/7,7,15
40,2016,2016/6/6,6,6
41,2016,2016/7/5,14,22
42,2016,2016/7/1,12,27
43,2016,2016/7/2,11,13
44,2016,2016/7/6,11,12
45,2016,2016/7/3,10,13
46,2016,2016/7/4,10,15
47,2016,2016/7/7,6,16
48,2016,2016/8/1,13,20
49,2016,2016/8/2,12,13
50,2016,2016/8/4,10,17
51,2016,2016/8/3,8,9
52,2016,2016/8/5,8,9
53,2016,2016/8/7,7,14
54,2016,2016/8/6,5,9
55,2016,2016/9/5,12,16
56,2016,2016/9/1,10,12
57,2016,2016/9/2,7,9
58,2016,2016/9/3,7,12
59,2016,2016/9/4,7,7
60,2016,2016/9/7,6,9
61,2016,2016/9/6,5,8
