,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/1,34,45
1,2016,2016/1/2,30,42
2,2016,2016/1/6,30,53
3,2016,2016/1/3,29,45
4,2016,2016/1/4,28,42
5,2016,2016/1/5,25,39
6,2016,2016/1/7,22,41
7,2016,2016/2/3,33,50
8,2016,2016/2/1,29,42
9,2016,2016/2/5,27,33
10,2016,2016/2/6,27,43
11,2016,2016/2/2,26,32
12,2016,2016/2/4,26,33
13,2016,2016/2/7,17,20
14,2016,2016/3/4,44,53
15,2016,2016/3/2,35,51
16,2016,2016/3/3,32,54
17,2016,2016/3/1,30,38
18,2016,2016/3/5,28,35
19,2016,2016/3/6,20,34
20,2016,2016/3/7,19,34
21,2016,2016/4/5,36,47
22,2016,2016/4/1,32,41
23,2016,2016/4/4,32,45
24,2016,2016/4/2,28,37
25,2016,2016/4/6,23,33
26,2016,2016/4/3,19,24
27,2016,2016/4/7,19,28
28,2016,2016/5/2,40,54
29,2016,2016/5/7,35,49
30,2016,2016/5/1,32,50
31,2016,2016/5/5,31,36
32,2016,2016/5/6,30,37
33,2016,2016/5/4,26,37
34,2016,2016/5/3,25,28
35,2016,2016/6/3,40,50
36,2016,2016/6/2,35,38
37,2016,2016/6/1,32,38
38,2016,2016/6/4,29,33
39,2016,2016/6/5,25,41
40,2016,2016/6/6,24,42
41,2016,2016/6/7,9,15
42,2016,2016/7/5,33,52
43,2016,2016/7/4,30,40
44,2016,2016/7/3,29,33
45,2016,2016/7/6,23,33
46,2016,2016/7/1,19,35
47,2016,2016/7/2,17,28
48,2016,2016/7/7,16,37
49,2016,2016/8/2,29,47
50,2016,2016/8/7,25,38
51,2016,2016/8/1,24,29
52,2016,2016/8/3,21,30
53,2016,2016/8/5,19,27
54,2016,2016/8/4,17,23
55,2016,2016/8/6,16,29
56,2016,2016/9/5,36,50
57,2016,2016/9/6,33,57
58,2016,2016/9/1,30,34
59,2016,2016/9/4,30,35
60,2016,2016/9/3,25,32
61,2016,2016/9/2,19,20
62,2016,2016/9/7,16,26
63,2016,2016/10/1,37,43
64,2016,2016/10/2,37,51
65,2016,2016/10/5,33,43
66,2016,2016/10/7,27,42
67,2016,2016/10/4,26,30
68,2016,2016/10/6,25,35
69,2016,2016/10/3,15,26
70,2016,2016/11/3,42,57
71,2016,2016/11/2,41,59
72,2016,2016/11/1,36,56
73,2016,2016/11/5,35,52
74,2016,2016/11/4,33,47
75,2016,2016/11/6,20,37
76,2016,2016/11/7,18,33
77,2016,2016/12/4,38,53
78,2016,2016/12/3,30,39
79,2016,2016/12/6,29,36
80,2016,2016/12/5,26,39
81,2016,2016/12/1,23,41
82,2016,2016/12/7,17,35
83,2016,2016/12/2,16,29
84,2017,2017/1/4,34,51
85,2017,2017/1/1,33,48
86,2017,2017/1/2,31,40
87,2017,2017/1/5,28,42
88,2017,2017/1/3,27,37
89,2017,2017/1/7,22,33
90,2017,2017/1/6,18,24
91,2017,2017/2/2,44,54
92,2017,2017/2/3,35,45
93,2017,2017/2/5,34,44
94,2017,2017/2/1,30,36
95,2017,2017/2/6,27,48
96,2017,2017/2/4,26,35
97,2017,2017/2/7,14,20
98,2017,2017/3/3,44,51
99,2017,2017/3/5,41,48
100,2017,2017/3/4,39,62
101,2017,2017/3/1,37,47
102,2017,2017/3/2,29,31
103,2017,2017/3/6,25,37
104,2017,2017/3/7,21,30
105,2017,2017/4/6,34,62
106,2017,2017/4/1,33,54
107,2017,2017/4/5,33,49
108,2017,2017/4/3,31,43
109,2017,2017/4/7,26,38
110,2017,2017/4/2,25,35
111,2017,2017/4/4,22,31
112,2017,2017/5/3,44,66
113,2017,2017/5/1,33,48
114,2017,2017/5/2,29,39
115,2017,2017/5/5,29,47
116,2017,2017/5/6,27,42
117,2017,2017/5/4,23,30
118,2017,2017/5/7,19,36
119,2017,2017/6/2,43,49
120,2017,2017/6/4,40,60
121,2017,2017/6/3,39,52
122,2017,2017/6/5,38,52
123,2017,2017/6/1,32,43
124,2017,2017/6/6,22,39
125,2017,2017/6/7,15,26
126,2017,2017/7/2,40,52
127,2017,2017/7/1,37,56
128,2017,2017/7/5,32,44
129,2017,2017/7/3,31,39
130,2017,2017/7/6,30,43
131,2017,2017/7/4,29,46
132,2017,2017/7/7,23,37
133,2017,2017/8/2,35,49
134,2017,2017/8/5,27,39
135,2017,2017/8/3,23,35
136,2017,2017/8/4,21,30
137,2017,2017/8/6,20,41
138,2017,2017/8/1,15,17
139,2017,2017/8/7,12,20
140,2017,2017/9/6,32,39
141,2017,2017/9/4,31,44
142,2017,2017/9/1,30,45
143,2017,2017/9/5,28,35
144,2017,2017/9/3,23,35
145,2017,2017/9/2,22,28
146,2017,2017/9/7,17,23
147,2017,2017/10/1,43,71
148,2017,2017/10/2,40,49
149,2017,2017/10/5,30,44
150,2017,2017/10/4,27,39
151,2017,2017/10/3,26,42
152,2017,2017/10/6,26,39
153,2017,2017/10/7,22,37
154,2017,2017/11/4,43,60
155,2017,2017/11/1,37,52
156,2017,2017/11/3,35,43
157,2017,2017/11/2,31,42
158,2017,2017/11/7,29,45
159,2017,2017/11/5,23,38
160,2017,2017/11/6,22,29
161,2017,2017/12/5,39,51
162,2017,2017/12/6,39,58
163,2017,2017/12/7,30,50
164,2017,2017/12/4,29,34
165,2017,2017/12/1,26,39
166,2017,2017/12/3,26,41
167,2017,2017/12/2,23,34
168,2018,2018/1/1,39,58
169,2018,2018/1/5,35,51
170,2018,2018/1/3,30,36
171,2018,2018/1/4,28,37
172,2018,2018/1/7,25,43
173,2018,2018/1/2,22,27
174,2018,2018/1/6,18,29
175,2018,2018/2/5,40,50
176,2018,2018/2/2,30,38
177,2018,2018/2/4,30,35
178,2018,2018/2/6,30,51
179,2018,2018/2/1,21,34
180,2018,2018/2/7,19,29
181,2018,2018/2/3,18,24
182,2018,2018/3/5,46,60
183,2018,2018/3/2,27,41
184,2018,2018/3/6,26,34
185,2018,2018/3/1,24,39
186,2018,2018/3/7,24,34
187,2018,2018/3/4,23,32
188,2018,2018/3/3,16,22
189,2018,2018/4/1,40,64
190,2018,2018/4/2,38,58
191,2018,2018/4/3,35,44
192,2018,2018/4/4,32,43
193,2018,2018/4/5,29,33
194,2018,2018/4/7,25,28
195,2018,2018/4/6,24,30
196,2018,2018/5/3,40,50
197,2018,2018/5/5,34,51
198,2018,2018/5/2,32,44
