,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/5,11,17
1,2016,2016/1/2,9,12
2,2016,2016/1/1,8,11
3,2016,2016/1/7,8,18
4,2016,2016/1/6,7,9
5,2016,2016/1/3,6,7
6,2016,2016/1/4,3,3
7,2016,2016/2/1,13,24
8,2016,2016/2/7,10,13
9,2016,2016/2/2,6,6
10,2016,2016/2/3,6,8
11,2016,2016/2/5,6,7
12,2016,2016/2/6,5,7
13,2016,2016/2/4,3,3
14,2016,2016/3/6,12,19
15,2016,2016/3/5,11,13
16,2016,2016/3/1,10,15
17,2016,2016/3/3,7,14
18,2016,2016/3/4,7,12
19,2016,2016/3/2,3,4
20,2016,2016/3/7,3,3
21,2016,2016/4/5,11,15
22,2016,2016/4/7,10,15
23,2016,2016/4/4,9,15
24,2016,2016/4/1,7,12
25,2016,2016/4/3,7,11
26,2016,2016/4/6,7,10
27,2016,2016/4/2,6,13
28,2016,2016/5/5,17,21
29,2016,2016/5/1,14,19
30,2016,2016/5/2,9,15
31,2016,2016/5/3,9,15
32,2016,2016/5/7,9,16
33,2016,2016/5/4,6,9
34,2016,2016/5/6,6,8
35,2016,2016/6/1,14,21
36,2016,2016/6/7,11,17
37,2016,2016/6/4,10,19
38,2016,2016/6/6,10,13
39,2016,2016/6/2,8,13
40,2016,2016/6/3,8,12
41,2016,2016/6/5,8,11
42,2016,2016/7/3,11,18
43,2016,2016/7/5,11,11
44,2016,2016/7/2,10,12
45,2016,2016/7/7,9,20
46,2016,2016/7/1,8,10
47,2016,2016/7/6,4,5
48,2016,2016/7/4,3,3
49,2016,2016/8/1,17,21
50,2016,2016/8/5,12,19
51,2016,2016/8/2,11,16
52,2016,2016/8/4,9,54
53,2016,2016/8/6,8,15
54,2016,2016/8/7,7,10
55,2016,2016/8/3,6,7
56,2016,2016/9/5,15,22
57,2016,2016/9/2,11,11
58,2016,2016/9/4,11,14
59,2016,2016/9/6,7,10
60,2016,2016/9/1,6,9
61,2016,2016/9/3,6,9
62,2016,2016/9/7,6,7
63,2016,2016/10/5,13,22
64,2016,2016/10/1,8,11
65,2016,2016/10/6,8,11
66,2016,2016/10/7,7,7
67,2016,2016/10/3,4,6
68,2016,2016/10/2,3,3
69,2016,2016/10/4,2,2
70,2016,2016/11/4,11,16
71,2016,2016/11/1,7,11
72,2016,2016/11/6,7,11
73,2016,2016/11/2,6,11
74,2016,2016/11/7,6,16
75,2016,2016/11/3,5,5
76,2016,2016/11/5,5,10
77,2016,2016/12/3,9,10
78,2016,2016/12/5,9,12
79,2016,2016/12/6,8,9
80,2016,2016/12/1,6,8
81,2016,2016/12/4,5,6
82,2016,2016/12/7,5,7
83,2016,2016/12/2,3,4
84,2017,2017/1/1,11,13
85,2017,2017/1/3,11,14
86,2017,2017/1/6,8,12
87,2017,2017/1/2,5,6
88,2017,2017/1/4,4,4
89,2017,2017/1/7,4,8
90,2017,2017/1/5,2,5
91,2017,2017/2/4,9,13
92,2017,2017/2/3,6,7
93,2017,2017/2/2,5,6
94,2017,2017/2/7,5,6
95,2017,2017/2/1,4,4
96,2017,2017/2/6,4,5
97,2017,2017/2/5,3,5
98,2017,2017/3/5,13,16
99,2017,2017/3/3,9,11
100,2017,2017/3/4,9,15
101,2017,2017/3/1,7,14
102,2017,2017/3/7,6,9
103,2017,2017/3/2,5,6
104,2017,2017/3/6,3,4
105,2017,2017/4/6,11,12
106,2017,2017/4/5,9,16
107,2017,2017/4/7,9,11
108,2017,2017/4/1,7,8
109,2017,2017/4/3,7,9
110,2017,2017/4/4,7,8
111,2017,2017/4/2,5,5
112,2017,2017/5/2,10,15
113,2017,2017/5/3,9,11
114,2017,2017/5/7,7,13
115,2017,2017/5/1,5,6
116,2017,2017/5/4,5,6
117,2017,2017/5/5,4,5
118,2017,2017/5/6,4,4
119,2017,2017/6/3,10,12
120,2017,2017/6/1,9,19
121,2017,2017/6/4,9,10
122,2017,2017/6/7,9,26
123,2017,2017/6/6,8,9
124,2017,2017/6/5,7,9
125,2017,2017/6/2,5,6
126,2017,2017/7/7,14,21
127,2017,2017/7/1,11,16
128,2017,2017/7/5,11,13
129,2017,2017/7/6,6,11
130,2017,2017/7/3,4,4
131,2017,2017/7/4,4,6
132,2017,2017/7/2,3,3
133,2017,2017/8/1,11,16
134,2017,2017/8/2,11,13
135,2017,2017/8/4,10,14
136,2017,2017/8/5,10,28
137,2017,2017/8/6,10,15
138,2017,2017/8/3,5,8
139,2017,2017/8/7,5,6
140,2017,2017/9/6,13,23
141,2017,2017/9/3,10,16
142,2017,2017/9/4,9,11
143,2017,2017/9/1,7,9
144,2017,2017/9/2,7,8
145,2017,2017/9/5,5,16
146,2017,2017/9/7,2,3
147,2017,2017/10/7,8,11
148,2017,2017/10/1,5,5
149,2017,2017/10/3,5,12
150,2017,2017/10/2,4,5
151,2017,2017/10/6,4,8
152,2017,2017/10/4,2,7
153,2017,2017/10/5,2,2
154,2017,2017/11/2,8,9
155,2017,2017/11/5,7,10
156,2017,2017/11/4,6,9
157,2017,2017/11/7,6,10
158,2017,2017/11/1,4,4
159,2017,2017/11/3,4,8
160,2017,2017/11/6,1,1
161,2017,2017/12/6,7,8
162,2017,2017/12/3,6,6
163,2017,2017/12/5,6,8
164,2017,2017/12/7,6,9
165,2017,2017/12/1,5,6
166,2017,2017/12/2,5,6
167,2017,2017/12/4,5,6
168,2018,2018/1/5,10,11
169,2018,2018/1/1,7,11
170,2018,2018/1/2,7,16
171,2018,2018/1/6,6,8
172,2018,2018/1/3,5,9
173,2018,2018/1/4,5,10
174,2018,2018/1/7,5,6
175,2018,2018/2/4,7,12
176,2018,2018/2/5,6,9
177,2018,2018/2/1,4,4
178,2018,2018/2/3,4,4
179,2018,2018/2/6,4,4
180,2018,2018/2/7,4,7
181,2018,2018/2/2,2,3
182,2018,2018/3/7,10,19
183,2018,2018/3/6,9,15
184,2018,2018/3/5,8,8
185,2018,2018/3/1,7,9
186,2018,2018/3/3,5,9
187,2018,2018/3/4,5,5
188,2018,2018/3/2,2,4
189,2018,2018/4/4,6,6
190,2018,2018/4/7,5,5
191,2018,2018/4/1,4,4
192,2018,2018/4/2,4,5
193,2018,2018/4/5,4,6
194,2018,2018/4/3,3,5
195,2018,2018/4/6,2,7
196,2018,2018/5/2,8,16
197,2018,2018/5/4,7,13
198,2018,2018/5/1,6,13
199,2018,2018/5/5,6,10
200,2018,2018/5/3,5,5
201,2018,2018/5/7,5,5
202,2018,2018/5/6,4,9
203,2018,2018/6/4,9,13
204,2018,2018/6/5,6,12
205,2018,2018/6/7,6,12
206,2018,2018/6/3,5,10
207,2018,2018/6/2,4,7
208,2018,2018/6/6,4,8
209,2018,2018/6/1,2,4
210,2018,2018/7/1,12,15
211,2018,2018/7/6,12,19
212,2018,2018/7/2,11,14
213,2018,2018/7/7,5,9
214,2018,2018/7/4,4,5
215,2018,2018/7/5,4,5
216,2018,2018/7/3,3,3
217,2018,2018/8/2,13,23
218,2018,2018/8/5,12,15
219,2018,2018/8/4,10,14
220,2018,2018/8/1,8,12
221,2018,2018/8/7,8,18
222,2018,2018/8/3,6,18
223,2018,2018/8/6,6,15
224,2018,2018/9/6,14,18
225,2018,2018/9/7,10,11
226,2018,2018/9/1,8,11
227,2018,2018/9/3,7,8
228,2018,2018/9/2,6,6
229,2018,2018/9/4,6,9
230,2018,2018/9/5,6,6
231,2018,2018/10/2,11,16
232,2018,2018/10/4,6,6
233,2018,2018/10/1,5,7
234,2018,2018/10/5,5,13
235,2018,2018/10/3,4,4
236,2018,2018/10/6,4,5
237,2018,2018/10/7,2,6
238,2018,2018/11/3,6,8
239,2018,2018/11/4,6,7
240,2018,2018/11/5,6,8
241,2018,2018/11/6,6,7
242,2018,2018/11/7,4,5
243,2018,2018/11/1,2,3
244,2018,2018/11/2,2,3
245,2018,2018/12/1,7,9
246,2018,2018/12/7,7,9
247,2018,2018/12/6,6,11
248,2018,2018/12/4,4,6
249,2018,2018/12/2,3,5
250,2018,2018/12/3,3,5
251,2018,2018/12/5,3,4
252,2019,2019/1/1,13,18
253,2019,2019/1/4,11,17
254,2019,2019/1/2,7,17
255,2019,2019/1/3,6,9
256,2019,2019/1/7,5,10
257,2019,2019/1/6,4,6
258,2019,2019/1/5,3,4
259,2019,2019/2/5,11,14
260,2019,2019/2/1,5,9
261,2019,2019/2/3,5,5
262,2019,2019/2/4,5,6
263,2019,2019/2/6,5,10
264,2019,2019/2/2,4,4
265,2019,2019/2/7,4,8
266,2019,2019/3/3,8,8
267,2019,2019/3/5,5,5
268,2019,2019/3/1,4,5
269,2019,2019/3/4,4,5
