,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/1,22,27
1,2016,2016/1/7,22,35
2,2016,2016/1/2,21,36
3,2016,2016/1/4,18,23
4,2016,2016/1/5,17,28
5,2016,2016/1/3,16,26
6,2016,2016/1/6,14,19
7,2016,2016/2/2,23,27
8,2016,2016/2/1,22,34
9,2016,2016/2/3,22,33
10,2016,2016/2/5,22,37
11,2016,2016/2/6,22,35
12,2016,2016/2/4,20,29
13,2016,2016/2/7,16,30
14,2016,2016/3/4,34,53
15,2016,2016/3/3,26,37
16,2016,2016/3/2,24,38
17,2016,2016/3/1,18,25
18,2016,2016/3/5,18,25
19,2016,2016/3/6,18,29
20,2016,2016/3/7,13,16
21,2016,2016/4/5,36,49
22,2016,2016/4/2,20,28
23,2016,2016/4/6,20,34
24,2016,2016/4/1,19,26
25,2016,2016/4/3,18,24
26,2016,2016/4/4,16,17
27,2016,2016/4/7,14,24
28,2016,2016/5/2,31,44
29,2016,2016/5/3,30,40
30,2016,2016/5/4,27,33
31,2016,2016/5/5,23,35
32,2016,2016/5/1,22,29
33,2016,2016/5/6,22,37
34,2016,2016/5/7,22,30
35,2016,2016/6/4,30,39
36,2016,2016/6/5,30,44
37,2016,2016/6/3,27,40
38,2016,2016/6/1,25,36
39,2016,2016/6/6,23,29
40,2016,2016/6/2,21,34
41,2016,2016/6/7,14,23
42,2016,2016/7/3,30,42
43,2016,2016/7/5,28,34
44,2016,2016/7/7,26,46
45,2016,2016/7/6,25,30
46,2016,2016/7/4,20,21
47,2016,2016/7/1,19,25
48,2016,2016/7/2,14,17
49,2016,2016/8/2,30,51
50,2016,2016/8/1,26,34
51,2016,2016/8/3,24,45
52,2016,2016/8/5,21,33
53,2016,2016/8/6,19,32
54,2016,2016/8/7,17,38
55,2016,2016/8/4,12,19
56,2016,2016/9/1,34,44
57,2016,2016/9/4,30,41
58,2016,2016/9/7,30,43
59,2016,2016/9/5,28,40
60,2016,2016/9/3,24,29
61,2016,2016/9/6,23,31
62,2016,2016/9/2,20,29
63,2016,2016/10/1,39,50
64,2016,2016/10/2,32,43
65,2016,2016/10/5,31,40
66,2016,2016/10/3,26,38
67,2016,2016/10/6,24,38
68,2016,2016/10/7,20,34
69,2016,2016/10/4,14,20
70,2016,2016/11/5,30,37
71,2016,2016/11/1,25,33
72,2016,2016/11/2,25,41
73,2016,2016/11/3,23,27
74,2016,2016/11/6,23,56
75,2016,2016/11/4,21,30
76,2016,2016/11/7,14,17
77,2016,2016/12/5,27,37
78,2016,2016/12/1,26,37
79,2016,2016/12/2,26,37
80,2016,2016/12/3,26,43
81,2016,2016/12/6,25,38
82,2016,2016/12/4,20,28
83,2016,2016/12/7,16,29
84,2017,2017/1/2,23,28
85,2017,2017/1/1,22,42
86,2017,2017/1/3,20,29
87,2017,2017/1/5,19,25
88,2017,2017/1/4,17,23
89,2017,2017/1/6,17,26
90,2017,2017/1/7,17,25
91,2017,2017/2/5,33,48
92,2017,2017/2/6,23,38
93,2017,2017/2/7,23,40
94,2017,2017/2/3,20,27
95,2017,2017/2/4,20,31
96,2017,2017/2/1,19,23
97,2017,2017/2/2,17,19
98,2017,2017/3/4,38,58
99,2017,2017/3/5,33,44
100,2017,2017/3/3,25,42
101,2017,2017/3/6,19,26
102,2017,2017/3/1,18,22
103,2017,2017/3/7,16,18
104,2017,2017/3/2,14,21
105,2017,2017/4/1,31,43
106,2017,2017/4/4,28,43
107,2017,2017/4/3,24,25
108,2017,2017/4/6,22,34
109,2017,2017/4/7,22,34
110,2017,2017/4/5,21,26
111,2017,2017/4/2,20,27
112,2017,2017/5/2,31,43
113,2017,2017/5/3,29,44
114,2017,2017/5/4,23,30
115,2017,2017/5/5,22,26
116,2017,2017/5/7,21,36
117,2017,2017/5/1,19,30
118,2017,2017/5/6,19,22
119,2017,2017/6/5,24,29
120,2017,2017/6/2,22,29
121,2017,2017/6/4,22,30
122,2017,2017/6/6,17,27
123,2017,2017/6/3,16,19
124,2017,2017/6/7,16,28
125,2017,2017/6/1,9,14
126,2017,2017/7/4,26,32
127,2017,2017/7/5,25,37
128,2017,2017/7/1,22,41
129,2017,2017/7/3,20,24
130,2017,2017/7/6,20,26
131,2017,2017/7/2,19,22
132,2017,2017/7/7,17,26
133,2017,2017/8/1,26,36
134,2017,2017/8/2,25,36
135,2017,2017/8/4,25,34
136,2017,2017/8/5,22,32
137,2017,2017/8/3,19,27
138,2017,2017/8/7,16,26
139,2017,2017/8/6,14,33
140,2017,2017/9/5,31,43
141,2017,2017/9/2,26,40
142,2017,2017/9/1,24,38
143,2017,2017/9/4,22,30
144,2017,2017/9/6,20,31
145,2017,2017/9/3,18,27
146,2017,2017/9/7,17,35
147,2017,2017/10/2,33,40
148,2017,2017/10/5,29,33
149,2017,2017/10/1,26,31
150,2017,2017/10/3,25,30
151,2017,2017/10/6,22,29
152,2017,2017/10/7,21,32
153,2017,2017/10/4,11,15
154,2017,2017/11/3,38,55
