,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/2,85,120
1,2016,2016/1/5,81,120
2,2016,2016/1/1,66,84
3,2016,2016/1/4,58,76
4,2016,2016/1/6,56,90
5,2016,2016/1/7,50,92
6,2016,2016/1/3,49,63
7,2016,2016/2/3,84,116
8,2016,2016/2/5,71,102
9,2016,2016/2/1,70,99
10,2016,2016/2/4,65,84
11,2016,2016/2/2,63,89
12,2016,2016/2/7,42,69
13,2016,2016/2/6,34,54
14,2016,2016/3/4,93,143
15,2016,2016/3/2,84,143
16,2016,2016/3/3,82,106
17,2016,2016/3/5,64,78
18,2016,2016/3/1,52,91
19,2016,2016/3/6,47,75
20,2016,2016/3/7,35,49
21,2016,2016/4/1,84,120
22,2016,2016/4/5,69,98
23,2016,2016/4/6,59,87
24,2016,2016/4/2,51,67
25,2016,2016/4/3,49,71
26,2016,2016/4/4,48,78
27,2016,2016/4/7,34,49
28,2016,2016/5/2,89,125
29,2016,2016/5/5,72,97
30,2016,2016/5/3,70,91
31,2016,2016/5/1,64,86
32,2016,2016/5/4,56,78
33,2016,2016/5/7,39,93
34,2016,2016/5/6,35,46
35,2016,2016/6/2,84,123
36,2016,2016/6/1,78,109
37,2016,2016/6/4,74,109
38,2016,2016/6/3,71,108
39,2016,2016/6/5,71,117
40,2016,2016/6/6,39,64
41,2016,2016/6/7,27,39
42,2016,2016/7/5,67,101
43,2016,2016/7/1,66,117
44,2016,2016/7/3,61,79
45,2016,2016/7/2,60,96
46,2016,2016/7/4,54,64
47,2016,2016/7/6,49,80
48,2016,2016/7/7,44,90
49,2016,2016/8/2,62,103
50,2016,2016/8/3,55,73
51,2016,2016/8/4,55,84
52,2016,2016/8/1,52,72
53,2016,2016/8/5,50,68
54,2016,2016/8/6,30,55
55,2016,2016/8/7,25,42
56,2016,2016/9/5,87,127
57,2016,2016/9/2,78,111
58,2016,2016/9/1,68,95
59,2016,2016/9/4,68,90
60,2016,2016/9/3,61,89
61,2016,2016/9/6,46,73
62,2016,2016/9/7,32,63
63,2016,2016/10/1,88,138
64,2016,2016/10/4,72,101
65,2016,2016/10/5,69,110
66,2016,2016/10/3,65,90
67,2016,2016/10/6,62,88
68,2016,2016/10/2,57,81
69,2016,2016/10/7,49,84
70,2016,2016/11/3,78,114
71,2016,2016/11/5,62,92
72,2016,2016/11/2,61,106
73,2016,2016/11/1,58,91
74,2016,2016/11/4,55,72
75,2016,2016/11/7,49,88
76,2016,2016/11/6,42,74
77,2016,2016/12/4,82,126
78,2016,2016/12/5,80,111
79,2016,2016/12/2,52,70
80,2016,2016/12/1,50,79
81,2016,2016/12/6,48,59
82,2016,2016/12/3,46,69
83,2016,2016/12/7,44,79
84,2017,2017/1/1,69,103
85,2017,2017/1/3,69,94
86,2017,2017/1/5,67,98
87,2017,2017/1/2,61,87
88,2017,2017/1/4,61,79
89,2017,2017/1/7,50,89
90,2017,2017/1/6,40,76
91,2017,2017/2/5,78,122
92,2017,2017/2/1,66,91
93,2017,2017/2/3,61,87
94,2017,2017/2/4,60,83
95,2017,2017/2/6,57,101
96,2017,2017/2/2,37,55
97,2017,2017/2/7,27,41
98,2017,2017/3/4,86,118
99,2017,2017/3/5,79,114
100,2017,2017/3/1,63,97
101,2017,2017/3/3,59,72
102,2017,2017/3/6,43,66
103,2017,2017/3/2,41,54
104,2017,2017/3/7,39,57
105,2017,2017/4/1,87,135
106,2017,2017/4/5,87,135
107,2017,2017/4/4,77,112
108,2017,2017/4/2,68,86
109,2017,2017/4/6,55,82
110,2017,2017/4/3,52,75
111,2017,2017/4/7,48,98
112,2017,2017/5/1,68,85
113,2017,2017/5/3,65,97
114,2017,2017/5/2,57,88
115,2017,2017/5/4,49,69
116,2017,2017/5/7,42,63
117,2017,2017/5/5,38,59
118,2017,2017/5/6,29,54
119,2017,2017/6/1,69,92
120,2017,2017/6/3,64,79
121,2017,2017/6/5,64,95
122,2017,2017/6/4,60,73
123,2017,2017/6/2,57,85
124,2017,2017/6/6,41,63
125,2017,2017/6/7,29,42
126,2017,2017/7/1,62,80
127,2017,2017/7/3,53,72
128,2017,2017/7/4,51,69
129,2017,2017/7/5,50,76
130,2017,2017/7/2,43,61
131,2017,2017/7/6,42,68
132,2017,2017/7/7,37,49
133,2017,2017/8/2,59,88
134,2017,2017/8/3,53,73
135,2017,2017/8/4,43,52
136,2017,2017/8/1,37,55
137,2017,2017/8/5,35,51
138,2017,2017/8/6,35,52
139,2017,2017/8/7,29,43
140,2017,2017/9/5,92,134
141,2017,2017/9/1,53,80
142,2017,2017/9/3,50,65
143,2017,2017/9/6,47,77
144,2017,2017/9/4,44,66
145,2017,2017/9/2,43,61
146,2017,2017/9/7,19,24
147,2017,2017/10/3,78,101
148,2017,2017/10/1,71,108
149,2017,2017/10/2,71,103
150,2017,2017/10/5,56,83
151,2017,2017/10/4,50,64
152,2017,2017/10/7,42,78
153,2017,2017/10/6,37,48
154,2017,2017/11/4,82,121
155,2017,2017/11/5,65,95
156,2017,2017/11/3,64,92
157,2017,2017/11/2,54,69
158,2017,2017/11/1,48,68
159,2017,2017/11/7,47,77
160,2017,2017/11/6,41,55
161,2017,2017/12/1,67,90
162,2017,2017/12/5,62,92
163,2017,2017/12/2,61,82
164,2017,2017/12/6,55,88
165,2017,2017/12/3,54,82
166,2017,2017/12/4,52,76
167,2017,2017/12/7,39,54
168,2018,2018/1/2,78,112
169,2018,2018/1/1,69,95
170,2018,2018/1/4,61,87
171,2018,2018/1/5,61,74
172,2018,2018/1/3,54,67
