,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/6,5,6
1,2016,2016/1/5,4,5
2,2016,2016/1/1,3,3
3,2016,2016/1/3,3,3
4,2016,2016/1/4,3,3
5,2016,2016/1/7,3,4
6,2016,2016/1/2,2,5
7,2016,2016/2/6,5,9
8,2016,2016/2/1,4,4
9,2016,2016/2/7,3,3
10,2016,2016/2/2,2,2
11,2016,2016/2/4,2,3
12,2016,2016/2/5,2,2
13,2016,2016/3/1,7,10
14,2016,2016/3/7,7,10
15,2016,2016/3/2,5,7
16,2016,2016/3/3,4,6
17,2016,2016/3/6,4,9
18,2016,2016/3/5,3,3
19,2016,2016/3/4,1,1
20,2016,2016/4/1,7,9
21,2016,2016/4/5,5,7
22,2016,2016/4/2,4,4
23,2016,2016/4/6,4,9
24,2016,2016/4/7,4,4
25,2016,2016/4/3,3,3
26,2016,2016/4/4,3,3
27,2016,2016/5/5,9,18
28,2016,2016/5/1,8,14
29,2016,2016/5/4,8,9
30,2016,2016/5/7,8,10
31,2016,2016/5/6,5,7
32,2016,2016/5/2,3,6
33,2016,2016/5/3,3,4
34,2016,2016/6/7,12,14
35,2016,2016/6/2,5,6
36,2016,2016/6/4,4,5
37,2016,2016/6/5,4,6
38,2016,2016/6/1,3,3
39,2016,2016/6/3,3,3
40,2016,2016/6/6,2,7
41,2016,2016/7/7,13,17
42,2016,2016/7/5,10,16
43,2016,2016/7/4,9,20
44,2016,2016/7/6,8,10
45,2016,2016/7/3,5,6
46,2016,2016/7/2,4,4
47,2016,2016/7/1,3,5
48,2016,2016/8/3,12,19
49,2016,2016/8/5,11,16
50,2016,2016/8/2,10,19
51,2016,2016/8/1,7,10
52,2016,2016/8/6,6,6
53,2016,2016/8/7,6,7
54,2016,2016/8/4,3,3
55,2016,2016/9/1,10,13
56,2016,2016/9/6,10,27
57,2016,2016/9/5,9,13
58,2016,2016/9/7,6,7
59,2016,2016/9/2,5,6
60,2016,2016/9/4,4,5
61,2016,2016/9/3,3,3
62,2016,2016/10/1,8,9
63,2016,2016/10/6,8,12
64,2016,2016/10/7,8,10
65,2016,2016/10/4,7,9
66,2016,2016/10/5,7,9
67,2016,2016/10/2,6,7
68,2016,2016/10/3,6,8
69,2016,2016/11/6,9,11
70,2016,2016/11/7,7,13
71,2016,2016/11/2,5,10
72,2016,2016/11/3,4,4
73,2016,2016/11/4,4,5
74,2016,2016/11/1,3,4
75,2016,2016/11/5,3,3
76,2016,2016/12/2,5,6
77,2016,2016/12/6,5,12
78,2016,2016/12/5,4,5
79,2016,2016/12/3,3,4
80,2016,2016/12/7,3,11
81,2016,2016/12/1,2,2
82,2016,2016/12/4,2,5
83,2017,2017/1/4,6,10
84,2017,2017/1/7,6,8
85,2017,2017/1/3,5,6
86,2017,2017/1/5,5,9
87,2017,2017/1/1,3,4
88,2017,2017/1/2,3,5
89,2017,2017/1/6,2,4
90,2017,2017/2/6,6,7
91,2017,2017/2/2,5,9
92,2017,2017/2/3,2,6
93,2017,2017/2/5,2,2
94,2017,2017/2/1,1,2
95,2017,2017/2/7,1,1
96,2017,2017/3/7,7,10
97,2017,2017/3/2,6,7
98,2017,2017/3/3,4,4
99,2017,2017/3/5,4,5
100,2017,2017/3/6,4,5
101,2017,2017/3/4,2,2
102,2017,2017/3/1,1,1
103,2017,2017/4/6,9,17
104,2017,2017/4/3,8,10
105,2017,2017/4/5,8,15
106,2017,2017/4/2,6,7
107,2017,2017/4/1,5,7
108,2017,2017/4/7,5,6
109,2017,2017/4/4,2,6
110,2017,2017/5/5,6,7
111,2017,2017/5/1,5,6
112,2017,2017/5/7,5,5
113,2017,2017/5/4,4,5
