,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/6,39,56
1,2016,2016/1/1,30,41
2,2016,2016/1/5,30,45
3,2016,2016/1/7,30,48
4,2016,2016/1/4,27,43
5,2016,2016/1/2,26,33
6,2016,2016/1/3,26,32
7,2016,2016/2/1,32,42
8,2016,2016/2/4,31,41
9,2016,2016/2/5,27,40
10,2016,2016/2/6,27,43
11,2016,2016/2/3,25,42
12,2016,2016/2/7,19,23
13,2016,2016/2/2,16,24
14,2016,2016/3/3,33,44
15,2016,2016/3/4,33,46
16,2016,2016/3/1,25,35
17,2016,2016/3/2,23,46
18,2016,2016/3/7,23,35
19,2016,2016/3/5,22,32
20,2016,2016/3/6,19,35
21,2016,2016/4/5,38,61
22,2016,2016/4/1,31,41
23,2016,2016/4/4,29,42
24,2016,2016/4/2,27,33
25,2016,2016/4/6,27,40
26,2016,2016/4/3,25,39
27,2016,2016/4/7,19,32
28,2016,2016/5/2,29,46
29,2016,2016/5/1,28,52
30,2016,2016/5/6,25,34
31,2016,2016/5/7,25,43
32,2016,2016/5/5,24,48
33,2016,2016/5/3,23,30
34,2016,2016/5/4,16,27
35,2016,2016/6/4,39,54
36,2016,2016/6/3,34,48
37,2016,2016/6/1,32,46
38,2016,2016/6/5,30,48
39,2016,2016/6/6,23,30
40,2016,2016/6/2,20,27
41,2016,2016/6/7,19,28
42,2016,2016/7/6,36,47
43,2016,2016/7/7,34,54
44,2016,2016/7/5,33,40
45,2016,2016/7/4,31,38
46,2016,2016/7/3,27,32
47,2016,2016/7/2,23,33
48,2016,2016/7/1,22,29
49,2016,2016/8/3,38,50
50,2016,2016/8/2,28,39
51,2016,2016/8/1,26,32
52,2016,2016/8/5,25,35
53,2016,2016/8/6,24,44
54,2016,2016/8/4,21,30
55,2016,2016/8/7,19,25
56,2016,2016/9/5,35,45
57,2016,2016/9/7,31,40
58,2016,2016/9/2,27,36
59,2016,2016/9/4,27,45
60,2016,2016/9/1,24,31
61,2016,2016/9/6,22,35
62,2016,2016/9/3,19,22
63,2016,2016/10/7,35,50
64,2016,2016/10/1,34,45
65,2016,2016/10/6,34,59
66,2016,2016/10/4,29,42
67,2016,2016/10/2,27,46
68,2016,2016/10/5,21,30
69,2016,2016/10/3,19,25
70,2016,2016/11/1,31,49
71,2016,2016/11/2,31,43
72,2016,2016/11/3,31,40
73,2016,2016/11/5,29,47
74,2016,2016/11/4,25,32
75,2016,2016/11/6,16,23
76,2016,2016/11/7,16,26
77,2016,2016/12/5,44,63
78,2016,2016/12/6,32,48
79,2016,2016/12/3,27,35
80,2016,2016/12/4,23,34
81,2016,2016/12/1,21,34
82,2016,2016/12/2,17,23
83,2016,2016/12/7,17,26
84,2017,2017/1/3,41,53
85,2017,2017/1/1,38,56
86,2017,2017/1/4,34,41
87,2017,2017/1/2,31,43
88,2017,2017/1/7,26,34
89,2017,2017/1/5,24,39
90,2017,2017/1/6,22,25
91,2017,2017/2/3,36,54
92,2017,2017/2/4,34,44
93,2017,2017/2/1,32,41
94,2017,2017/2/5,31,45
95,2017,2017/2/6,29,45
96,2017,2017/2/2,21,26
97,2017,2017/2/7,21,30
98,2017,2017/3/5,42,60
99,2017,2017/3/4,34,44
100,2017,2017/3/2,32,47
101,2017,2017/3/6,24,35
102,2017,2017/3/3,23,38
103,2017,2017/3/1,22,29
104,2017,2017/3/7,18,24
105,2017,2017/4/2,35,51
106,2017,2017/4/3,33,44
107,2017,2017/4/5,33,44
108,2017,2017/4/6,32,52
109,2017,2017/4/1,31,50
110,2017,2017/4/7,27,40
111,2017,2017/4/4,20,34
112,2017,2017/5/2,39,55
113,2017,2017/5/5,31,42
114,2017,2017/5/4,28,40
115,2017,2017/5/3,27,45
116,2017,2017/5/1,19,26
117,2017,2017/5/7,16,31
118,2017,2017/5/6,14,18
119,2017,2017/6/5,30,42
120,2017,2017/6/4,25,40
121,2017,2017/6/6,25,35
122,2017,2017/6/3,24,32
123,2017,2017/6/2,23,26
124,2017,2017/6/7,21,30
125,2017,2017/6/1,20,29
126,2017,2017/7/1,29,34
127,2017,2017/7/7,29,39
128,2017,2017/7/2,28,35
129,2017,2017/7/5,25,30
130,2017,2017/7/3,22,30
131,2017,2017/7/6,20,25
132,2017,2017/7/4,17,25
133,2017,2017/8/1,26,38
134,2017,2017/8/4,26,37
135,2017,2017/8/5,26,36
136,2017,2017/8/3,25,36
137,2017,2017/8/6,25,30
138,2017,2017/8/2,20,41
139,2017,2017/8/7,20,26
140,2017,2017/9/4,31,54
141,2017,2017/9/5,31,53
142,2017,2017/9/6,27,38
143,2017,2017/9/3,26,33
144,2017,2017/9/1,19,27
145,2017,2017/9/2,16,25
146,2017,2017/9/7,14,24
147,2017,2017/10/1,30,41
148,2017,2017/10/2,30,46
149,2017,2017/10/5,30,41
150,2017,2017/10/7,27,43
151,2017,2017/10/3,25,34
152,2017,2017/10/4,25,34
153,2017,2017/10/6,21,28
154,2017,2017/11/4,34,53
155,2017,2017/11/6,29,43
156,2017,2017/11/7,29,45
157,2017,2017/11/1,27,39
158,2017,2017/11/3,27,37
159,2017,2017/11/2,24,33
160,2017,2017/11/5,21,33
161,2017,2017/12/5,38,56
162,2017,2017/12/6,26,38
163,2017,2017/12/4,24,41
164,2017,2017/12/3,23,28
165,2017,2017/12/2,22,31
166,2017,2017/12/1,18,26
167,2017,2017/12/7,16,24
168,2018,2018/1/2,41,55
169,2018,2018/1/5,39,62
170,2018,2018/1/1,35,44
171,2018,2018/1/3,34,47
172,2018,2018/1/7,24,41
173,2018,2018/1/4,22,30
174,2018,2018/1/6,22,33
175,2018,2018/2/5,33,44
176,2018,2018/2/6,29,41
177,2018,2018/2/1,27,41
178,2018,2018/2/4,22,31
179,2018,2018/2/2,19,22
180,2018,2018/2/3,18,23
181,2018,2018/2/7,16,30
182,2018,2018/3/4,42,60
183,2018,2018/3/1,31,50
184,2018,2018/3/6,31,46
185,2018,2018/3/5,30,40
186,2018,2018/3/3,24,28
187,2018,2018/3/2,20,26
188,2018,2018/3/7,16,25
189,2018,2018/4/1,30,40
190,2018,2018/4/2,29,37
191,2018,2018/4/5,28,35
192,2018,2018/4/7,26,44
193,2018,2018/4/4,23,32
194,2018,2018/4/3,20,27
195,2018,2018/4/6,19,26
196,2018,2018/5/2,34,43
197,2018,2018/5/4,28,41
198,2018,2018/5/5,22,30
199,2018,2018/5/1,21,26
200,2018,2018/5/6,21,29
201,2018,2018/5/3,16,21
202,2018,2018/5/7,16,25
203,2018,2018/6/5,45,56
204,2018,2018/6/2,33,51
205,2018,2018/6/6,29,38
206,2018,2018/6/1,24,36
207,2018,2018/6/3,23,31
208,2018,2018/6/7,22,35
209,2018,2018/6/4,17,25
210,2018,2018/7/2,33,48
211,2018,2018/7/4,31,42
212,2018,2018/7/1,30,36
213,2018,2018/7/5,28,36
214,2018,2018/7/6,22,24
215,2018,2018/7/7,22,28
216,2018,2018/7/3,20,28
217,2018,2018/8/3,28,38
218,2018,2018/8/4,27,41
219,2018,2018/8/1,26,35
220,2018,2018/8/5,26,37
221,2018,2018/8/6,24,38
222,2018,2018/8/2,21,37
223,2018,2018/8/7,19,30
224,2018,2018/9/4,31,42
225,2018,2018/9/1,28,39
226,2018,2018/9/6,27,36
227,2018,2018/9/3,23,35
228,2018,2018/9/5,21,26
229,2018,2018/9/7,21,34
230,2018,2018/9/2,18,30
231,2018,2018/10/1,35,49
232,2018,2018/10/3,34,45
233,2018,2018/10/4,32,40
234,2018,2018/10/7,27,39
235,2018,2018/10/5,21,27
236,2018,2018/10/2,20,25
237,2018,2018/10/6,18,24
238,2018,2018/11/5,35,50
239,2018,2018/11/4,33,55
240,2018,2018/11/1,27,48
241,2018,2018/11/2,26,34
242,2018,2018/11/6,24,39
243,2018,2018/11/7,22,30
244,2018,2018/11/3,20,23
245,2018,2018/12/6,31,46
246,2018,2018/12/1,25,40
247,2018,2018/12/5,24,37
248,2018,2018/12/7,24,36
249,2018,2018/12/2,21,40
250,2018,2018/12/4,21,32
251,2018,2018/12/3,20,23
252,2019,2019/1/1,31,46
253,2019,2019/1/2,27,34
254,2019,2019/1/3,25,36
255,2019,2019/1/4,23,33
256,2019,2019/1/5,22,28
257,2019,2019/1/6,22,38
258,2019,2019/1/7,16,26
259,2019,2019/2/4,27,41
260,2019,2019/2/2,26,35
261,2019,2019/2/6,26,39
262,2019,2019/2/3,25,31
263,2019,2019/2/7,25,39
264,2019,2019/2/5,23,36
265,2019,2019/2/1,22,29
266,2019,2019/3/6,34,41
267,2019,2019/3/5,33,46
268,2019,2019/3/7,23,26
269,2019,2019/3/2,22,33
270,2019,2019/3/1,19,23
271,2019,2019/3/4,18,31
272,2019,2019/3/3,15,17
273,2019,2019/4/2,29,38
274,2019,2019/4/1,24,31
275,2019,2019/4/5,24,25
276,2019,2019/4/3,20,25
277,2019,2019/4/6,17,22
278,2019,2019/4/4,15,19
279,2019,2019/4/7,13,21
280,2019,2019/5/4,36,52
281,2019,2019/5/3,30,41
282,2019,2019/5/5,29,43
283,2019,2019/5/2,28,36
284,2019,2019/5/7,26,37
285,2019,2019/5/1,24,35
286,2019,2019/5/6,22,29
287,2019,2019/6/3,26,34
288,2019,2019/6/6,26,36
289,2019,2019/6/2,25,28
290,2019,2019/6/1,21,29
291,2019,2019/6/7,19,25
292,2019,2019/6/5,15,19
293,2019,2019/6/4,13,15
294,2019,2019/7/7,32,61
295,2019,2019/7/1,26,39
296,2019,2019/7/3,25,37
297,2019,2019/7/2,24,35
298,2019,2019/7/5,24,33
299,2019,2019/7/4,22,33
300,2019,2019/7/6,18,27
301,2019,2019/8/5,32,55
302,2019,2019/8/7,23,30
303,2019,2019/8/1,22,28
304,2019,2019/8/6,20,27
305,2019,2019/8/3,18,24
306,2019,2019/8/4,16,22
307,2019,2019/8/2,12,12
308,2019,2019/9/7,30,45
309,2019,2019/9/1,29,35
310,2019,2019/9/2,25,34
311,2019,2019/9/4,25,33
312,2019,2019/9/5,23,29
313,2019,2019/9/3,19,27
314,2019,2019/9/6,14,21
315,2019,2019/10/2,30,42
316,2019,2019/10/4,29,40
317,2019,2019/10/1,27,44
318,2019,2019/10/3,24,28
319,2019,2019/10/7,24,33
320,2019,2019/10/5,19,25
321,2019,2019/10/6,18,26
322,2019,2019/11/5,38,64
323,2019,2019/11/2,27,41
324,2019,2019/11/6,25,41
325,2019,2019/11/7,25,30
326,2019,2019/11/1,21,26
327,2019,2019/11/4,20,26
328,2019,2019/11/3,19,24
329,2019,2019/12/1,34,46
330,2019,2019/12/5,29,46
331,2019,2019/12/2,28,36
332,2019,2019/12/7,28,43
333,2019,2019/12/6,26,33
334,2019,2019/12/4,22,36
335,2019,2019/12/3,21,28
336,2020,2020/1/4,36,52
337,2020,2020/1/6,32,45
338,2020,2020/1/5,28,33
339,2020,2020/1/2,27,40
340,2020,2020/1/3,27,42
341,2020,2020/1/1,26,40
342,2020,2020/1/7,18,31
343,2020,2020/2/3,32,47
344,2020,2020/2/5,29,36
345,2020,2020/2/6,29,40
346,2020,2020/2/2,26,31
347,2020,2020/2/4,25,36
348,2020,2020/2/1,19,20
349,2020,2020/2/7,15,17
350,2020,2020/3/1,19,28
351,2020,2020/3/4,19,27
352,2020,2020/3/2,18,23
353,2020,2020/3/5,14,15
354,2020,2020/3/3,11,12
355,2020,2020/3/6,9,13
356,2020,2020/3/7,9,12
357,2020,2020/4/4,6,7
358,2020,2020/4/2,5,5
359,2020,2020/4/1,3,3
360,2020,2020/4/7,3,3
361,2020,2020/4/3,2,3
362,2020,2020/4/6,2,2
363,2020,2020/4/5,1,2
364,2020,2020/5/1,21,26
365,2020,2020/5/2,19,20
366,2020,2020/5/3,15,22
367,2020,2020/5/4,14,20
368,2020,2020/5/5,14,19
369,2020,2020/5/6,14,16
370,2020,2020/5/7,14,17
371,2020,2020/6/6,25,37
372,2020,2020/6/7,24,40
373,2020,2020/6/5,23,25
374,2020,2020/6/2,20,30
375,2020,2020/6/3,16,17
376,2020,2020/6/1,14,20
377,2020,2020/6/4,14,23
378,2020,2020/7/4,23,32
379,2020,2020/7/3,20,31
380,2020,2020/7/5,18,26
381,2020,2020/7/6,17,29
382,2020,2020/7/1,16,26
383,2020,2020/7/2,15,16
384,2020,2020/7/7,14,26
385,2020,2020/8/6,30,43
386,2020,2020/8/2,25,31
387,2020,2020/8/4,25,37
388,2020,2020/8/1,24,33
389,2020,2020/8/5,24,27
390,2020,2020/8/7,15,20
391,2020,2020/8/3,14,23
392,2020,2020/9/2,32,41
393,2020,2020/9/5,20,22
394,2020,2020/9/3,19,28
395,2020,2020/9/1,18,26
396,2020,2020/9/6,17,25
397,2020,2020/9/7,17,23
398,2020,2020/9/4,16,21
399,2020,2020/10/5,38,45
400,2020,2020/10/4,25,29
401,2020,2020/10/1,21,23
402,2020,2020/10/3,21,26
403,2020,2020/10/6,19,26
404,2020,2020/10/2,17,25
405,2020,2020/10/7,15,20
406,2020,2020/11/1,28,41
407,2020,2020/11/4,25,31
408,2020,2020/11/7,25,40
409,2020,2020/11/3,24,28
410,2020,2020/11/5,24,35
411,2020,2020/11/6,21,31
412,2020,2020/11/2,19,21
413,2020,2020/12/3,36,40
414,2020,2020/12/2,30,38
415,2020,2020/12/4,22,32
416,2020,2020/12/5,22,26
417,2020,2020/12/6,19,33
418,2020,2020/12/7,19,25
419,2020,2020/12/1,14,23
